id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18563602,Serene mid-century lake house steps to Lake Travis,4977306,Briana & James,,78734,30.379736775847615,-97.95573830845416,Entire home/apt,85,60,20,2018-08-12,1.03,1,211
18582845,Beautiful centrally located guest house in Austin,129017253,Chris,,78731,30.328064127829688,-97.7597816680429,Entire home/apt,250,2,1,2017-10-22,0.06,1,0
18583140,Hip in the Heart of South Lamar,50214619,Ames,,78704,30.237305447641464,-97.78385984600658,Entire home/apt,95,1,90,2019-01-04,4.31,9,313
18584106,"Hyde Park Cottage Hideaway, Minutes to UT/Downtown",129032797,Molly,,78751,30.30962142908535,-97.72708872880148,Entire home/apt,99,2,64,2019-01-31,4.01,1,48
18594935,Stay on 6th ST - 0.35 Miles to Convention Center,88769927,Jason,,78701,30.26628559186017,-97.73595701777613,Entire home/apt,300,1,167,2019-01-30,7.84,4,153
18613534,Vintage Charm Abounds in this 1920s Updated Eastside Cottage,1661593,Lisa Elle,,78702,30.251139959337152,-97.72820025550574,Entire home/apt,125,2,90,2019-02-04,4.68,1,78
18614840,North Austin Private Room,15973992,Kurt,,78758,30.370366891086412,-97.71279472266133,Private room,45,1,1,2017-05-27,0.05,1,0
18617668,"Weekday Specials, Sunday thru Thursday",129331351,Tom,,78744,30.192135316162357,-97.7491076750213,Entire home/apt,195,2,49,2019-02-03,2.68,1,318
18627098,Austin's Home Sweet Home,129342770,Jacob,,78721,30.284388864246363,-97.69038282341485,Entire home/apt,175,2,4,2018-07-19,0.19,1,38
18630708,Hideaway in North Central ATX: Direct Bus Downtown,11816533,Andrea,,78753,30.349323280081553,-97.70003078439265,Private room,45,2,75,2019-01-27,3.68,1,113
18632973,New Home in the Central Austin,16444958,Johnny,,78757,30.344751374922524,-97.71931601443181,Entire home/apt,180,4,2,2018-06-02,0.10,1,0
18633164,WALK TO ACL!!! New guesthouse on the Greenbelt,1982800,Shawn,,78704,30.257327769726672,-97.78335498282631,Entire home/apt,200,2,1,2018-01-05,0.08,1,88
18635379,Great apartment and location!,38716707,Lilia,,78704,30.229817074810207,-97.76740400051685,Entire home/apt,123,1,7,2018-02-25,0.33,1,66
18636277,Spacious Getaway in Travis Heights,6279305,Chelsea,,78704,30.246758299748773,-97.73783027011648,Entire home/apt,400,2,51,2019-01-21,3.15,1,112
18638188,Charming Home Close to Downtown,411670,Melissa,,78741,30.24207285315335,-97.7354102405757,Entire home/apt,300,2,10,2018-10-23,0.62,3,285
18643843,Spacious South Congress Sanctuary,1523587,Dallas,,78704,30.247214816728654,-97.73861775856372,Entire home/apt,850,2,0,,,22,0
18650628,Little Blue Casita in East Austin-Holly,37360849,Jimena,,78702,30.25400627444315,-97.72961795066817,Entire home/apt,83,2,32,2019-01-27,3.57,1,139
18653429,Isla Montopolis - Private East Side Guesthouse,4265326,Whitney,,78741,30.23489968047706,-97.69777377776961,Entire home/apt,100,2,63,2019-01-20,3.01,1,63
